Car Name,Condition,Mileage,Engine Type,Rating,Price,Location,Year
2021 Mazda CX-5,foreign,3106.0,4-cylinder,4.3,"GH¢ 444,900","Accra, Spintex",2021
2025 Hyundai Santa Fe,new,0.0,4-cylinder,4.9,"GH¢ 615,840","Greater Accra, Airport",2025
2018 Hyundai TUCSON,foreign,38000.0,4-cylinder,4.5,"GH¢ 326,650","Greater Accra, Roman Ridge",2018
2016 Toyota corolla,foreign,75000.0,4-cylinder,3.0,"GH¢ 188,950","Greater Accra, Tema",2016
2015 Toyota corolla,foreign,33554.0,4-cylinder,3.0,"GH¢ 178,750","Greater Accra, Tema",2015
2014 Ford Explorer,foreign,40389.0,6-cylinder,3.0,"GH¢ 530,650","Greater Accra, Tema",2014
2020 Honda CR-V,foreign,65000.0,4-cylinder,3.0,"GH¢ 459,250","Greater Accra, Tema",2020
2020 Hyundai Santa Fe,foreign,52816.0,4-cylinder,3.0,"GH¢ 408,250","Greater Accra, Tema",2020
2015 Nissan Rogue,foreign,35000.0,4-cylinder,3.0,"GH¢ 178,750","Greater Accra, Abelemkpe",2015
2020 Honda CR-V,local,65000.0,4-cylinder,3.0,"GH¢ 316,450","Greater Accra, Abelemkpe",2020
2025 Toyota Landcruiser Prado,new,0.0,4-cylinder,4.9,"GH¢ 1,351,600","Greater Accra, Airport",2025
2025 Toyota Land Cruiser Prado,new,0.0,4-cylinder,4.9,"GH¢ 1,351,600","Greater Accra, Airport",2025
2025 Lexus LX 600,new,0.0,6-cylinder,4.9,"GH¢ 2,976,000","Greater Accra, Airport",2025
2019 Honda CR-V,foreign,21747.0,4-cylinder,4.4,"GH¢ 440,000","Accra, Dome",2019
2019 KIA Sorento,foreign,621.0,4-cylinder,3.0,"GH¢ 364,645","Greater Accra, Achimota",2019
2013 Toyota Land Cruiser,local,77050.0,6-cylinder,5.0,"GH¢ 918,250","Greater Accra, Weija",2013
2015 Toyota Land Cruiser,local,54680.0,8-cylinder,4.5,"GH¢ 938,650","Greater Accra, East Legon",2015
2022 SUZUKI Vitara,local,12427.0,4-cylinder,3.4,"GH¢ 250,000","Greater Accra, Airport",2022
2015 Toyota Corolla,foreign,9320.0,4-cylinder,3.0,"GH¢ 198,181","Greater Accra, Achimota",2015
2025 SUZUKI S-presso GL,new,1242.0,4-cylinder,4.8,"GH¢ 140,330","Greater Accra, Airport",2025
2015 Hyundai Elantra,foreign,62137.0,4-cylinder,3.4,"GH¢ 140,000","Greater Accra, Airport",2015
2017 Toyota Rav4,local,146000.0,4-cylinder,3.0,"GH¢ 275,650","Greater Accra, Kaneshie",2017
2022 Toyota Landcruiser,local,13048.0,6-cylinder,5.0,"GH¢ 1,088,080","Greater Accra, East Legon",2022
2025 SUZUKI FRONX SUV,new,0.0,4-cylinder,4.8,"GH¢ 280,000","Greater Accra, Airport",2025
2025 Nissan Patrol,new,0.0,4-cylinder,4.9,"GH¢ 1,158,300","Greater Accra, Airport",2025
2023 Honda HR-V,foreign,32000.0,4-cylinder,3.0,"GH¢ 663,250","Greater Accra, Tesano",2023
2021 Toyota Highlander,foreign,3000.0,6-cylinder,3.0,"GH¢ 714,250","Greater Accra, Tesano",2021
2022 Toyota Highlander,foreign,3000.0,6-cylinder,3.0,"GH¢ 816,250","Greater Accra, Tesano",2022
2013 Toyota Land Cruiser V8,foreign,3000.0,8-cylinder,4.2,"GH¢ 867,250","Greater Accra, Tesano",2013
2018 Toyota Corolla,foreign,3000.0,4-cylinder,4.2,"GH¢ 255,250","Greater Accra, Tesano",2018
2017 Honda Civic,foreign,3000.0,4-cylinder,4.2,"GH¢ 199,150","Greater Accra, Tesano",2017
2018 BMW 750 li,foreign,3000.0,8-cylinder,4.2,"GH¢ 561,250","Greater Accra, Tesano",2018
2019 Ford Fiesta,foreign,32000.0,4-cylinder,4.2,"GH¢ 173,650","Greater Accra, Achimota",2019
2023 Toyota Landcruiser Prado,foreign,32000.0,6-cylinder,4.0,"GH¢ 1,018,210","Greater Accra, Tesano",2023
2013 Toyota Corolla,local,129245.0,4-cylinder,3.2,"GH¢ 144,450","Greater Accra, East Legon",2013
2023 Toyota Hiace,new,3000.0,4-cylinder,4.5,"GH¢ 1,122,250","Greater Accra, Achimota",2023
2023 Toyota Hiace,new,3000.0,4-cylinder,4.7,"GH¢ 1,122,250","Greater Accra, Tesano",2023
2022 Ford Explorer,foreign,3000.0,4-cylinder,4.2,"GH¢ 698,950","Greater Accra, Abelemkpe",2022
2016 Honda Pilot,foreign,3000.0,4-cylinder,4.2,"GH¢ 408,250","Greater Accra, Abelemkpe",2016
2025 Toyota Tundra,new,0.0,4-cylinder,5.0,"GH¢ 1,236,000","Greater Accra, Airport",2025
2009 Toyota Yaris,local,3000.0,4-cylinder,3.3,"GH¢ 115,000","Greater Accra, Achimota",2009
2025 Lexus LX 600,new,0.0,6-cylinder,4.9,"GH¢ 2,904,000","Greater Accra, Airport",2025
2021 Toyota Tacoma,foreign,32000.0,4-cylinder,4.2,"GH¢ 511,270","Greater Accra, Abelemkpe",2021
2024 Toyota Hilux,foreign,3000.0,4-cylinder,4.2,"GH¢ 698,950","Greater Accra, Abelemkpe",2024
2019 Toyota Tacoma,foreign,32000.0,6-cylinder,3.0,"GH¢ 510,250","Greater Accra, Abelemkpe",2019
2016 JEEP Compass,foreign,3000.0,4-cylinder,4.2,"GH¢ 214,450","Greater Accra, Abelemkpe",2016
2019 Chevrolet Equinox,foreign,3000.0,4-cylinder,4.2,"GH¢ 311,350","Greater Accra, Abelemkpe",2019
2015 Toyota Corolla,foreign,3000.0,4-cylinder,4.2,"GH¢ 250,150","Greater Accra, Achimota",2015
2018 Toyota Corolla,foreign,3000.0,4-cylinder,4.2,"GH¢ 280,750","Greater Accra, Achimota",2018
2017 Honda Civic,foreign,3000.0,4-cylinder,4.2,"GH¢ 255,250","Greater Accra, Achimota",2017
