Car Name,Condition,Mileage,Engine Type,Rating,Price,Location,Year
2015 Toyota Highlander,foreign,4970.0,6-cylinder,3.0,"₦ 35,015,000","Lagos, Berger Mkt",2015
2012 Toyota Highlander,foreign,5592.0,6-cylinder,3.0,"₦ 19,015,000","Lagos, Berger Mkt",2012
2017 Mercedes-Benz GLE 350,foreign,1864.0,6-cylinder,3.0,"₦ 41,015,000","Lagos, Ikate, Lekki",2017
2009 Toyota Highlander,foreign,5592.0,6-cylinder,3.0,"₦ 21,515,000","Lagos, Berger Mkt",2009
2013 Toyota Camry,local,12000.0,4-cylinder,3.0,"₦ 12,015,000","Lagos, Surulere",2013
2017 Toyota Highlander,foreign,9000.0,6-cylinder,3.0,"₦ 45,015,000","Lagos, Berger Mkt",2017
2018 Toyota Highlander,foreign,5592.0,6-cylinder,3.0,"₦ 53,015,000","Lagos, Berger Mkt",2018
2015 Toyota Highlander,foreign,5592.0,6-cylinder,3.0,"₦ 33,515,000","Lagos, Berger Mkt",2015
2014 Lexus RX 350,foreign,5592.0,6-cylinder,3.0,"₦ 27,015,000","Lagos, Berger Mkt",2014
2010 Toyota Highlander,local,150000.0,4-cylinder,3.0,"₦ 10,500,000","Lagos, Ikota, Lekki",2010
2016 Toyota Avalon,foreign,22000.0,6-cylinder,3.0,"₦ 22,015,000","Lagos, Anthony",2016
2012 Mercedes-Benz E 350,local,68350.0,6-cylinder,2.8,"₦ 12,015,000","Lagos, Lekki",2012
2013 Hyundai Santa Fe,local,125000.0,6-cylinder,3.0,"₦ 9,500,000","Lagos, Abule Egba",2013
2008 Lexus ES,foreign,105000.0,6-cylinder,3.0,"₦ 13,015,000","Lagos, Abule Egba",2008
2006 Toyota corolla,local,58000.0,4-cylinder,3.0,"₦ 5,515,000","Abuja, Kubwa Express",2006
2008 Lexus IS 250,local,66000.0,6-cylinder,1.6,"₦ 7,515,000","Abuja, Gwarinpa",2008
2009 Honda Accord,local,0.0,4-cylinder,3.0,"₦ 6,015,000","Lagos, Abule Egba",2009
2012 JEEP Cherokee,local,145000.0,6-cylinder,3.0,"₦ 7,515,000","Abuja, Gwarinpa",2012
2009 Toyota Corolla,foreign,96000.0,4-cylinder,4.0,"₦ 11,515,000","Abuja, Gwarinpa",2009
